# from https://api.keyman.com/search/2.0/
# accessed 2026-03-23
ID	Name	Lang codes	Input Script ISO	Output Script ISO	Downloads	Total Downloads	Platform Support
keyman_basic_kbdgeoer	Georgian (Ergonomic) Basic	ka	Geor	Geor	27	926	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdgeome	Georgian Ministry of Education and Science Schools Basic	ka	Geor	Geor	15	872	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdgeooa	Georgian (Old Alphabets) Basic	ka	Geor	Geor	23	1423	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdgeoqw	Georgian (QWERTY) Basic	ka	Geor	Geor	70	12965	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdgkl	Greek Latin Basic	el	Grek	Grek	17	1122	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdgn	Guarani Basic	gn	Latn	Latn	46	1718	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdgr	German Basic	de	Latn	Latn	83	4367	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdgr1	German (IBM) Basic	de	Latn	Latn	9	1033	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdgrlnd	Greenlandic Basic	kl	Latn	Latn	35	644	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdgthc	Gothic	got	Goth	Goth	74	2518	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdhau	Hausa Basic	ha	Latn	Latn	38	694	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdhaw	Hawaiian Basic	haw	Latn	Latn	23	673	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdhe	Greek Basic	el	Grek	Grek	121	1360	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdhe220	Greek (220) Basic	el	Grek	Grek	28	950	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdhe319	Greek (319) Basic	el	Grek	Grek	26	1165	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdheb	Hebrew Basic	he	Hebr	Hebr	185	5887	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdhebl3	Hebrew (Standard) Basic	he	Hebr	Hebr	61	1626	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdhela2	Greek (220) Latin Basic	el	Grek	Grek	23	649	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdhela3	Greek (319) Latin Basic	el	Grek	Grek	13	758	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdhept	Greek Polytonic Basic	el	Grek	Grek	99	1243	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdhu	Hungarian Basic	hu	Latn	Latn	39	1202	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdhu1	Hungarian 101-key Basic	hu	Latn	Latn	92	2775	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdibo	Igbo Basic	ig	Latn	Latn	42	1413	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdic	Icelandic Basic	is	Latn	Latn	11	1249	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdinasa	Assamese - INSCRIPT Basic	as	Beng	Beng	52	1893	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdinbe2	Bengali - INSCRIPT Basic	bn	Beng	Beng	165	10819	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdinben	Bengali Basic	bn	Beng	Beng	23	1208	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdindev	Devanagari - INSCRIPT Basic	hi	Deva	Deva	409	13838	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdinen	India Basic	en,hi	Latn	Latn	41	1739	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdinguj	Gujarati Basic	gu	Gujr	Gujr	60	1249	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdinhin	Hindi Traditional Basic	hi	Deva	Deva	38	2523	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdinkan	Kannada Basic	kn	Knda	Knda	22	1072	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdinmal	Malayalam Basic	ml	Mlym	Mlym	212	11505	windows,macos,linux,desktopWeb,ios,android,mobileWeb
