Title	Local Title (formatted)	Status	Language	Script (ISO 15924 code)	WP code	Locale Code(s)	Articles	Active Users	URL
English Wikipedia	English Wikipedia	Active	English	Latn	en	eng	7,203,019	258,684	en.wikipedia.org
Cebuano Wikipedia	Wikipedya sa Sinugboanon	Active	Cebuano	Latn	ceb	ceb	6,115,343	235	ceb.wikipedia.org
German Wikipedia	Deutschsprachige Wikipedia	Active	German	Latn	de	deu	3,132,548	34,515	de.wikipedia.org
French Wikipedia	Wikipédia en français	Active	French	Latn	fr	fra	2,767,081	35,492	fr.wikipedia.org
Swedish Wikipedia	Svenskspråkiga Wikipedia	Active	Swedish	Latn	sv	swe	2,626,392	4,183	sv.wikipedia.org
Dutch Wikipedia	Nederlandstalige Wikipedia	Active	Dutch	Latn	nl	nld	2,222,009	8,422	nl.wikipedia.org
Russian Wikipedia	Русская Википедия (Russkaya Vikipediya)	Active	Russian	Cyrl	ru	rus	2,107,478	16,971	ru.wikipedia.org
Spanish Wikipedia	Wikipedia en español	Active	Spanish	Latn	es	spa	2,122,379	39,423	es.wikipedia.org
Italian Wikipedia	Wikipedia in italiano	Active	Italian	Latn	it	ita	1,975,881	27,379	it.wikipedia.org
Polish Wikipedia	Polskojęzyczna Wikipedia	Active	Polish	Latn	pl	pol	1,699,890	9,565	pl.wikipedia.org
Egyptian Arabic Wikipedia	ويكيپيديا مصرى (Wīkībīdiyā maṣri)	Active	Egyptian Arabic	Arab	arz	ara/arz	1,632,208	321	arz.wikipedia.org
Chinese Wikipedia	Traditional Chinese: 中文維基百科, simplified Chinese: 中文维基百科 (pinyin: Zhōngwén wéijī bǎikē)	Active	"Chinese (written vernacular Chinese)"	Hans/Hant	zh	zho/cmn	1,541,722	13,839	zh.wikipedia.org
Japanese Wikipedia	ウィキペディア日本語版 (Wikipedia nihongo-ban)	Active	Japanese	Jpan	ja	jpn	1,507,969	23,748	ja.wikipedia.org
Ukrainian Wikipedia	Українська Вікіпедія (Ukrainska Vikipediia)	Active	Ukrainian	Cyrl	uk	ukr	1,426,398	4,945	uk.wikipedia.org
Vietnamese Wikipedia	Wikipedia tiếng Việt	Active	Vietnamese	Latn	vi	vie	1,302,831	4,572	vi.wikipedia.org
Arabic Wikipedia	ويكيبيديا العربية (Wīkībīdiyā al-ʿarabiyya)	Active	Arabic	Arab	ar	ara/arb	1,322,069	6,001	ar.wikipedia.org
Waray Wikipedia	Waray Wikipedia	Active	Waray	Latn	war	war	1,266,914	72	war.wikipedia.org
Portuguese Wikipedia	Wikipédia em português	Active	Portuguese	Latn	pt	por	1,176,256	7,666	pt.wikipedia.org
Persian Wikipedia	ویکی‌پدیای فارسی (Vikipediā-ye Fārsi)	Active	Persian	Arab	fa	fas/pes	1,078,571	7,291	fa.wikipedia.org
Catalan Wikipedia	Viquipèdia en català	Active	Catalan	Latn	ca	cat	796,328	1,807	ca.wikipedia.org
Indonesian Wikipedia	Wikipedia bahasa Indonesia	Active	Indonesian	Latn	id	ind	781,655	5,292	id.wikipedia.org
Korean Wikipedia	한국어 위키백과 (Hangugeo wikibaekgwa)	Active	Korean	Hang	ko	kor	752,030	5,859	ko.wikipedia.org
Serbian Wikipedia	Википедија на српском језику (Vikipedija na srpskom jeziku)	Active	Serbian	Cyrl/Latn	sr	hbs/srp	705,889	1,836	sr.wikipedia.org
Norwegian Wikipedia (Bokmål)	Norsk Wikipedia	Active	Norwegian (Bokmål)	Latn	no	nor/nob	685,931	1,720	no.wikipedia.org
Turkish Wikipedia	Türkçe Vikipedi	Active	Turkish	Latn	tr	tur	688,106	4,729	tr.wikipedia.org
Chechen Wikipedia	Нохчийн Википеди (Noxçiyn Wikipedi)	Active	Chechen	Cyrl	ce	che	866,369	83	ce.wikipedia.org
Finnish Wikipedia	Suomenkielinen Wikipedia	Active	Finnish	Latn	fi	fin	620,842	2,990	fi.wikipedia.org
Czech Wikipedia	Česká Wikipedie	Active	Czech	Latn	cs	ces	594,402	4,649	cs.wikipedia.org
Hungarian Wikipedia	Magyar Wikipédia	Active	Hungarian	Latn	hu	hun	570,618	2,950	hu.wikipedia.org
Romanian Wikipedia	Wikipedia în limba română	Active	Romanian	Latn	ro	ron	545,309	1,881	ro.wikipedia.org
Tatar Wikipedia	Татар Википедиясе (Tatar Wikipediäse)	Active	Tatar	Cyrl	tt	tat	708,864	89	tt.wikipedia.org
Basque Wikipedia	Euskarazko Wikipedia	Active	Basque	Latn	eu	eus	491,427	651	eu.wikipedia.org
Serbo-Croatian Wikipedia	Srpskohrvatska Wikipedija (Српскохрватска Википедија)	Active	Serbo-Croatian	Latn/Cyrl	sh	hbs	461,803	321	sh.wikipedia.org
Southern Min Wikipedia	Pe̍h-ōe-jī: Holopedia or Wikipedia Bân-lâm-gú	Active	Southern Min	Latn	zh-min-nan	nan	434,276	97	zh-min-nan.wikipedia.org
Malay Wikipedia	Wikipedia Bahasa Melayu (ويکيڤيديا بهاس ملايو)	Active	Malay	Latn	ms	msa/zsm	439,454	2,154	ms.wikipedia.org
Hebrew Wikipedia	ויקיפדיה העברית (Vikipedya ha-ivrit)	Active	Hebrew	Hebr	he	heb	399,761	7,001	he.wikipedia.org
Esperanto Wikipedia	Vikipedio en Esperanto	Active	Esperanto	Latn	eo	epo	387,122	438	eo.wikipedia.org
Armenian Wikipedia	Հայերեն Վիքիպեդիա (Hayeren Vikʿipedia)	Active	Armenian	Armn	hy	hye	329,081	734	hy.wikipedia.org
Danish Wikipedia	Dansk Wikipedia	Active	Danish	Latn	da	dan	314,721	1,551	da.wikipedia.org
Bulgarian Wikipedia	Българоезична Уикипедия (Bǎlgaroezična Uikipediya)	Active	Bulgarian	Cyrl	bg	bul	310,992	1,680	bg.wikipedia.org
Uzbek Wikipedia	Oʻzbekcha Vikipediya (Ўзбекча Википедия)	Active	Uzbek	Latn/Cyrl	uz	uzb/uzn	347,625	621	uz.wikipedia.org
Welsh Wikipedia	Wicipedia Cymraeg	Active	Welsh	Latn	cy	cym	284,242	138	cy.wikipedia.org
Simple English Wikipedia	Simple English Wikipedia	Active	Simple English	Latn	simple	eng_simple	282,612	3,173	simple.wikipedia.org
Greek Wikipedia	Ελληνική Βικιπαίδεια (Ellinikí Vikipaídeia)	Active	Greek	Grek	el	ell	270,676	2,452	el.wikipedia.org
Belarusian Wikipedia	Беларуская Вікіпедыя (Bielaruskaja Vikipiedyja)	Active	"Belarusian (official Narkamaŭka orthography)"	Cyrl	be	bel	264,455	322	be.wikipedia.org
Slovak Wikipedia	Slovenská Wikipedia	Active	Slovak	Latn	sk	slk	260,269	1,239	sk.wikipedia.org
Estonian Wikipedia	Eestikeelne Vikipeedia	Active	Estonian	Latn	et	est/ekk	260,595	924	et.wikipedia.org
South Azerbaijani Wikipedia	تورکجه ویکی‌پدیا (Azərbaycanca Vikipediya)	Active	South Azerbaijani	Arab	azb	aze/azb	244,679	119	azb.wikipedia.org
Kazakh Wikipedia	Қазақша Уикипедия (Qazaqşa Wïkïpedïya) (قازاقشا ۋىيكىيپەدىييا)	Active	Kazakh	Cyrl	kk	kaz	244,147	328	kk.wikipedia.org
Urdu Wikipedia	اردو ویکیپیڈیا (Urdū vikipīḍiyā)	Active	Urdu	Arab	ur	urd	640,215	394	ur.wikipedia.org
Minangkabau Wikipedia	Wikipedia Minangkabau	Active	Minangkabau	Latn	min	msa/min	229,619	68	min.wikipedia.org
Croatian Wikipedia	Hrvatska Wikipedija	Active	Croatian	Latn	hr	hbs/hrv	233,873	931	hr.wikipedia.org
Galician Wikipedia	Galipedia or Wikipedia en galego	Active	Galician	Latn	gl	glg	232,232	409	gl.wikipedia.org
Lithuanian Wikipedia	Lietuviškoji Vikipedija	Active	Lithuanian	Latn	lt	lit	226,159	540	lt.wikipedia.org
Azerbaijani Wikipedia	Azərbaycanca Vikipediya	Active	Azerbaijani	Latn	az	aze/azj	215,662	828	az.wikipedia.org
Slovene Wikipedia	Slovenska Wikipedija	Active	Slovene	Latn	sl	slv	198,143	631	sl.wikipedia.org
Georgian Wikipedia	ქართული ვიკიპედია (Kartuli vik’ip’edia)	Active	Georgian	Geor	ka	kat	196,660	351	ka.wikipedia.org
Ladin Wikipedia	Wikipedia per ladin	Active	Ladin	Latn	lld	lld	183,202	30	lld.wikipedia.org
Tamil Wikipedia	தமிழ் விக்கிபீடியா (Tamiḻ vikkippīṭiyā)	Active	Tamil	Taml	ta	tam	186,988	529	ta.wikipedia.org
Thai Wikipedia	วิกิพีเดียภาษาไทย (Wi-ki-phi-dia pha-sa thai)	Active	Thai	Thai	th	tha	184,397	2,870	th.wikipedia.org
Norwegian Wikipedia (Nynorsk)	Norsk (Nynorsk) Wikipedia	Active	Norwegian (Nynorsk)	Latn	nn	nor/nno	178,086	165	nn.wikipedia.org
Bengali Wikipedia	বাংলা উইকিপিডিয়া (Bangla uikipiḍiẏa)	Active	Bengali	Beng	bn	ben	188,767	1,775	bn.wikipedia.org
Hindi Wikipedia	हिन्दी विकिपीडिया (Hindī vikipīḍiyā)	Active	Hindi	Deva	hi	hin	170,379	1,036	hi.wikipedia.org
Macedonian Wikipedia	Македонска Википедија (Makedonska Vikipedija)	Active	Macedonian	Cyrl	mk	mkd	162,762	273	mk.wikipedia.org
Cantonese Wikipedia	Traditional Chinese: 粵文維基百科 (Jyutping: jyut6 man4 wai4 gei1 baak3 fo1)	Active	Cantonese	Hant	zh-yue	zho/yue	150,567	828	zh-yue.wikipedia.org
Latin Wikipedia	Vicipaedia Latina	Active	Latin	Latn	la	lat	141,921	181	la.wikipedia.org
Asturian Wikipedia	Wikipedia n'asturianu	Active	Asturian	Latn	ast	ast	139,128	146	ast.wikipedia.org
Latvian Wikipedia	Vikipēdija latviešu valodā	Active	Latvian	Latn	lv	lav/lvs	144,147	444	lv.wikipedia.org
Afrikaans Wikipedia	Afrikaanse Wikipedia	Active	Afrikaans	Latn	af	afr	129,603	240	af.wikipedia.org
Tajik Wikipedia	Википедияи Тоҷикӣ (Vikipedijai Toçikī)	Active	Tajik	Cyrl/Latn	tg	tgk	118,542	117	tg.wikipedia.org
Telugu Wikipedia	తెలుగు వికీపీడియా (Telugu vikīpīḍiyā)	Active	Telugu	Telu	te	tel	125,166	405	te.wikipedia.org
Burmese Wikipedia	မြန်မာဝီကီပီးဒီးယား (Mranma wikipi:di:ya:)	Active	Burmese	Mymr	my	mya	111,066	315	my.wikipedia.org
Albanian Wikipedia	Wikipedia shqip	Active	Albanian	Latn	sq	sqi	105,978	433	sq.wikipedia.org
Swahili Wikipedia	Wikipedia ya Kiswahili	Active	Swahili	Latn	sw	swa	120,865	219	sw.wikipedia.org
Malagasy Wikipedia	Wikipedia amin'ny teny malagasy	Active	Malagasy	Latn	mg	mlg	103,631	127	mg.wikipedia.org
Marathi Wikipedia	मराठी विकिपीडिया (Marāṭhī vikipīḍiyā)	Active	Marathi	Deva	mr	mar	102,210	286	mr.wikipedia.org
Bosnian Wikipedia	Wikipedia na bosanskom jeziku	Active	Bosnian	Latn	bs	hbs/bos	98,376	265	bs.wikipedia.org
Kurdish Wikipedia	Wîkîpediya kurdî (ویکیپەدیا کوردی)	Active	Kurdish (Kurmanji)	Latn/Arab	ku	kur/kmr	91,887	126	ku.wikipedia.org
Occitan Wikipedia	Wikipèdia en occitan	Active	Occitan	Latn	oc	oci	90,793	122	oc.wikipedia.org
Belarusian Wikipedia (Classical)	Беларуская Вікіпэдыя (Bielaruskaja Vikipiedyja)	Active	"Belarusian (Taraškievica orthography)"	Cyrl	be-tarask	bel_tarask	91,090	210	be-tarask.wikipedia.org
Breton Wikipedia	Wikipedia e brezhoneg	Active	Breton	Latn	br	bre	91,402	116	br.wikipedia.org
Malayalam Wikipedia	മലയാളം വിക്കിപീഡിയ (Malayāḷaṃ vikkipīḍiya)	Active	Malayalam	Mlym	ml	mal	88,148	377	ml.wikipedia.org
Low German Wikipedia	Plattdüütsche Wikipedia	Active	Low German	Latn	nds	nds	85,905	58	nds.wikipedia.org
Lombard Wikipedia	Wikipedia in lombard	Active	Lombard	Latn	lmo	lmo	80,154	57	lmo.wikipedia.org
Sorani Kurdish Wikipedia	ویکیپیدیای کوردیی سۆرانی (Wîkîpîdiyay Kurdî Soranî)	Active	Kurdish (Sorani)	Arab	ckb	ckb	82,116	191	ckb.wikipedia.org
Kyrgyz Wikipedia	Кыргыз Википедиясы (Kyrgyz Wikipediyasy)	Active	Kyrgyz	Cyrl	ky	kir	76,485	93	ky.wikipedia.org
Javanese Wikipedia	Wikipedia basa Jawa (ꦮꦶꦏꦶꦥꦺꦝꦶꦪꦃꦧꦱꦗꦮ)	Active	Javanese	Latn/Java	jv	jav	75,292	144	jv.wikipedia.org
Western Punjabi Wikipedia	پنجابی وکیپیڈیا (Pañjābī vikīpīḍīā)	Active	Western Punjabi	Arab	pnb	lah/pnb	75,595	61	pnb.wikipedia.org
Newar Wikipedia	𑐣𑐾𑐥𑐵𑐮𑐨𑐵𑐲𑐵 𑐰𑐶𑐎𑐶𑐥𑐶𑐡𑐶𑐫𑐵 (Nepālabhāshā vikipiḍiyā)	Active	Newar	Deva/Newa	new	new	74,197	23	new.wikipedia.org
Haitian Creole Wikipedia	Wikipedya kreyòl ayisyen	Active	Haitian Creole	Latn	ht	hat	71,951	64	ht.wikipedia.org
Piedmontese Wikipedia	Wikipedia an piemontèisa	Active	Piedmontese	Latn	pms	pms	71,534	34	pms.wikipedia.org
Venetian Wikipedia	Wikipedia en łéngoa vèneta	Active	Venetian	Latn	vec	vec	69,614	50	vec.wikipedia.org
Hausa Wikipedia	Wikipedia Hausa	Active	Hausa	Latn	ha	hau	105,326	350	ha.wikipedia.org
Luxembourgish Wikipedia	Wikipedia op Lëtzebuergesch	Active	Luxembourgish	Latn	lb	ltz	67,412	112	lb.wikipedia.org
Mazanderani Wikipedia	مازرونی ویکی‌پدیا (Mazandarani vikipedi)	Active	Mazanderani	Arab	mzn	mzn	64,662	73	mzn.wikipedia.org
Bashkir Wikipedia	Башҡорт Википедияһы (Başķort Vikipediya)	Active	Bashkir	Cyrl	ba	bak	64,288	79	ba.wikipedia.org
Irish Wikipedia	Vicipéid na Gaeilge	Active	Irish	Latn	ga	gle	64,142	121	ga.wikipedia.org
Sundanese Wikipedia	Wikipédia basa Sunda	Active	Sundanese	Latn	su	sun	62,935	100	su.wikipedia.org
Icelandic Wikipedia	Íslenska Wikipedia	Active	Icelandic	Latn	is	isl	61,105	201	is.wikipedia.org
Silesian Wikipedia	Ślůnsko Wikipedyjo	Active	Silesian	Latn	szl	szl	60,733	51	szl.wikipedia.org
Punjabi Wikipedia	ਪੰਜਾਬੀ ਵਿਕੀਪੀਡੀਆ (Pañjābī vikīpīḍīā)	Active	Punjabi	Guru	pa	lah/pan	59,603	112	pa.wikipedia.org
Chuvash Wikipedia	Чăваш Википедийĕ (Russian-based: Căvaš Vikipedijĕ, Turkish-based: Çovaş Vikipyediyö)	Active	Chuvash	Cyrl	cv	chv	59,077	50	cv.wikipedia.org
West Frisian Wikipedia	Frysktalige Wikipedy	Active	West Frisian	Latn	fy	fry	60,282	87	fy.wikipedia.org
Ido Wikipedia	Wikipedio en Ido	Active	Ido	Latn	io	ido	62,574	70	io.wikipedia.org
Aragonese Wikipedia	Biquipedia en aragonés	Active	Aragonese	Latn	an	arg	81,499	108	an.wikipedia.org
Tagalog Wikipedia	Wikipediang Tagalog	Active	Tagalog	Latn	tl	tgl	49,152	254	tl.wikipedia.org
Gilaki Wikipedia	گیلکی ویکیپدیاٰ (Gilɵki vikipɵdiya)	Active	Gilaki	Arab	glk	glk	48,310	106	glk.wikipedia.org
Wu Wikipedia	Traditional Chinese: 吳語維基百科, simplified Chinese: 吴语维基百科 (Romanized: Wu-nyu Vi-ci-pah-khu)	Active	Wu Chinese	Hans/Hant	wuu	zho/wuu	48,247	75	wuu.wikipedia.org
Volapük Wikipedia	Vükiped Volapükik	Active	Volapük	Latn	vo	vol	52,433	58	vo.wikipedia.org
Igbo Wikipedia	Wikipedia Igbo	Active	Igbo	Latn	ig	ibo	47,215	117	ig.wikipedia.org
Zazaki Wikipedia	Wikipediyay Zazaki	Active	Zaza	Latn	diq	zza/diq	42,672	47	diq.wikipedia.org
Yoruba Wikipedia	Wikipéédíà Yorùbá	Active	Yoruba	Latn	yo	yor	37,520	96	yo.wikipedia.org
Scots Wikipedia	Scots Wikipædia	Active	Scots	Latn	sco	sco	34,214	129	sco.wikipedia.org
Kannada Wikipedia	ಕನ್ನಡ ವಿಕಿಪೀಡಿಯ (Kannaḍa vikipīḍiya)	Active	Kannada	Knda	kn	kan	35,212	152	kn.wikipedia.org
Balinese Wikipedia	Wikipédia Basa Bali (ᬯᬶᬓᬶᬧᬾᬤᬶᬬ ᬩᬲᬩᬮᬶ)	Active	Balinese	Latn	ban	ban	37,971	84	ban.wikipedia.org
Alemannic Wikipedia	Alemannische Wikipedia	Active	Alemannic German	Latn	als	alem1243/gsw/swg	31,713	109	als.wikipedia.org
Gujarati Wikipedia	ગુજરાતી વિકિપીડિયા (Gujrātī vikipīḍiyā)	Active	Gujarati	Gujr	gu	guj	30,844	84	gu.wikipedia.org
Interlingua Wikipedia	Wikipedia in interlingua	Active	Interlingua	Latn	ia	ina	30,462	49	ia.wikipedia.org
Kotava Wikipedia	Wikipedia men Kotava	Active	Kotava	Latn	avk	avk	29,900	31	avk.wikipedia.org
Nepali Wikipedia	नेपाली विकिपिडिया (Nepālī vikipiḍiyā)	Active	Nepali	Deva	ne	nep/npi	29,862	145	ne.wikipedia.org
Crimean Tatar Wikipedia	Qırımtatarca Vikipediya	Active	Crimean Tatar	Latn	crh	crh	29,714	65	crh.wikipedia.org
Bavarian Wikipedia	Boarische Wikipedia	Active	Bavarian	Latn	bar	bar	27,230	70	bar.wikipedia.org
Sicilian Wikipedia	Wikipedia ’n sicilianu	Active	Sicilian	Latn	scn	scn	26,307	56	scn.wikipedia.org
Mongolian Wikipedia	Монгол Википедиа (Mongol Vikipyedia)	Active	Mongolian	Cyrl	mn	mon	27,742	184	mn.wikipedia.org
Bishnupriya Manipuri Wikipedia	বিষ্ণুপ্রিয়া মণিপুরী উইকিপিডিয়া (Bişnupriya mônipuri u'ikipiḍiẏā)	Active	Bishnupriya Manipuri	Beng	bpy	bpy	25,096	24	bpy.wikipedia.org
Saraiki Wikipedia	سرائیکی ویٖکیٖپیڈیا (Sarā'īkī vikipīḍiyā)	Active	Saraiki	Arab	skr	lah/skr	24,645	19	skr.wikipedia.org
Quechua Wikipedia	Qhichwa Wikipidiya	Active	Quechua (Southern Quechua)	Latn	qu	que/quec1389	24,551	42	qu.wikipedia.org
Sinhala Wikipedia	සිංහල විකිපීඩියා (Siṁhala wikipīḍiyā)	Active	Sinhala	Sinh	si	sin	25,586	144	si.wikipedia.org
Navajo Wikipedia	Wikiibíídiiya Dinék'ehjí	Active	Navajo	Latn	nv	nav	22,667	19	nv.wikipedia.org
Mingrelian Wikipedia	მარგალური ვიკიპედია (Margaluri vik’ip’edia)	Active	Mingrelian	Geor	xmf	xmf	22,389	30	xmf.wikipedia.org
Ossetian Wikipedia	Ирон Википеди (Iron Vikipedi)	Active	Ossetian	Cyrl	os	oss	21,743	27	os.wikipedia.org
Central Bikol Wikipedia	Wikipedyang Bikol Sentral	Active	Central Bikol	Latn	bcl	bik/bcl	22,326	85	bcl.wikipedia.org
Pashto Wikipedia	پښتو ويکيپېډيا (Pax̌tó wīkīpeḍyā)	Active	Pashto	Arab	ps	pus	21,319	53	ps.wikipedia.org
North Frisian Wikipedia	Nordfriisk Wikipedia	Active	North Frisian	Latn	frr	frr	21,280	31	frr.wikipedia.org
Odia Wikipedia	ଓଡ଼ିଆ ଉଇକିପିଡ଼ିଆ (Oṛiā uikipiṛiā)	Active	Odia	Orya	or	ori/ory	20,940	67	or.wikipedia.org
Sindhi Wikipedia	سنڌي وڪيپيڊيا (Sindhi wikipidia)	Active	Sindhi	Arab	sd	snd	21,904	48	sd.wikipedia.org
Assamese Wikipedia	অসমীয়া ৱিকিপিডিয়া (Ôxômiya wikipidiya)	Active	Assamese	Beng	as	asm	24,547	162	as.wikipedia.org
Tumbuka Wikipedia	Wikipedia Chitumbuka	Active	Tumbuka	Latn	tum	tum	19,192	30	tum.wikipedia.org
Yakut Wikipedia	Сахалыы Бикипиэдьийэ (Sahalyy Bikipieçje)	Active	Yakut	Cyrl	sah	sah	18,205	44	sah.wikipedia.org
Samogitian Wikipedia	Žemaitėška Vikipedėjė	Active	Samogitian	Latn	bat-smg	sgs	17,276	33	bat-smg.wikipedia.org
Eastern Min Wikipedia	Bàng-uâ-cê: Bànguâpedia or Mìng-dĕ̤ng-ngṳ̄ Wikipedia	Active	Eastern Min	Latn	cdo	cdo	16,722	19	cdo.wikipedia.org
Scottish Gaelic Wikipedia	Uicipeid na Gàidhlig	Active	Scottish Gaelic	Latn	gd	gla	16,058	33	gd.wikipedia.org
Buginese Wikipedia	ᨓᨗᨀᨗᨄᨙᨉᨗᨕ ᨅᨔ ᨕᨘᨁᨗ (Wikipedia basa Ugi)	Active	Buginese	Bugi	bug	bug	15,961	24	bug.wikipedia.org
Yiddish Wikipedia	יידישע וויקיפעדיע (Yidishe vikipedye)	Active	Yiddish	Hebr	yi	yid	15,718	54	yi.wikipedia.org
Amharic Wikipedia	አማርኛ ዊኪፔዲያ (Amarəñña wikipediya)	Active	Amharic	Ethi	am	amh	15,701	76	am.wikipedia.org
Ilocano Wikipedia	Wikipedia nga Ilokano	Active	Ilocano	Latn	ilo	ilo	15,513	39	ilo.wikipedia.org
Limburgish Wikipedia	Limburgse Wikipedia	Active	Limburgish	Latn	li	lim	15,214	28	li.wikipedia.org
Neapolitan Wikipedia	Wikipedia napulitana	Active	Neapolitan	Latn	nap	nap	14,960	37	nap.wikipedia.org
Gorontalo Wikipedia	Wikipedia bahasa Hulontalo	Active	Gorontalo	Latn	gor	gor	15,117	21	gor.wikipedia.org
Maithili Wikipedia	मैथिली विकिपिडिया (Maithilī vikipiḍiyā)	Active	Maithili	Deva	mai	mai	14,352	37	mai.wikipedia.org
Faroese Wikipedia	Føroysk Wikipedia	Active	Faroese	Latn	fo	fao	14,218	65	fo.wikipedia.org
Upper Sorbian Wikipedia	Hornjoserbska wikipedija	Active	Upper Sorbian	Latn	hsb	hsb	14,261	33	hsb.wikipedia.org
Shan Wikipedia	ဝီႇၶီႇၽီးတီးယႃးတႆး (Wiː-kʰiː-pʰiː-tiː-jaɑː- táy)	Active	Shan	Mymr	shn	shn	15,509	21	shn.wikipedia.org
Banyumasan Wikipedia	Wikipédia basa Banyumasan	Active	Banyumasan	Latn	map-bms	jav/bany1247	13,972	22	map-bms.wikipedia.org
Classical Chinese Wikipedia	文言維基大典 (Wéijī dàdiǎn wényán)	Active	Classical Chinese	Hant	zh-classical	zho/lzh	14,085	79	zh-classical.wikipedia.org
Santali Wikipedia	ᱥᱟᱱᱛᱟᱲᱤ ᱣᱤᱠᱤᱯᱤᱰᱤᱭᱟ (Santaṛi wikipiḍiya)	Active	Santali	Olck	sat	sat	15,308	27	sat.wikipedia.org
Emilian–Romagnol Wikipedia	Emiliàn e rumagnòl Vichipedèia	Active	Emilian–Romagnol	Latn	eml	eml	14,157	30	eml.wikipedia.org
Interlingue Wikipedia	Wikipedia in Interlingue	Active	Interlingue	Latn	ie	ile	13,672	35	ie.wikipedia.org
Dagbani Wikipedia	Wikipidia Dagbani	Active	Dagbani	Latn	dag	dag	14,185	74	dag.wikipedia.org
Acehnese Wikipedia	Wikipèdia bahsa Acèh	Active	Acehnese	Latn	ace	ace	13,070	44	ace.wikipedia.org
Western Armenian Wikipedia	Արեւմտահայերէն Ուիքիփետիա (Arevmdahayerēn Uikʿipʿetia)	Active	Western Armenian	Armn	hyw	hyw	13,932	38	hyw.wikipedia.org
Walloon Wikipedia	Wikipedia e walon	Active	Walloon	Latn	wa	wln	12,962	32	wa.wikipedia.org
Sanskrit Wikipedia	संस्कृतविकिपीडिया (Saṃskṛta vikipīḍiyā)	Active	Sanskrit	Deva	sa	san	12,508	34	sa.wikipedia.org
Fiji Hindi Wikipedia	Fiji Baat Wikipedia	Active	Fiji Hindi	Latn	hif	hif	12,340	78	hif.wikipedia.org
Moroccan Amazigh Wikipedia	ⵡⵉⴽⵉⴱⵉⴷⵢⴰ ⵜⴰⵎⴰⵣⵉⵖⵜ ⵜⴰⵏⴰⵡⴰⵢⵜ (Wikibidya tamaziɣt tanawayt)	Active	Standard Moroccan Amazigh	Tfng	zgh	tzm/zgh	12,238	45	zgh.wikipedia.org
Zulu Wikipedia	Wikipedia isiZulu	Active	Zulu	Latn	zu	zul	12,380	58	zu.wikipedia.org
Khmer Wikipedia	វិគីភីឌាភាសាខ្មែរ (Vikiiphiidiaa phiăsaa khmae)	Active	Khmer	Khmr	km	khm	12,134	121	km.wikipedia.org
Shona Wikipedia	Wikipedhiya chiShona	Active	Shona	Latn	sn	sna	11,702	26	sn.wikipedia.org
Ligurian Wikipedia	Wikipedia Ligure	Active	Ligurian	Latn	lij	lij	11,547	31	lij.wikipedia.org
Banjarese Wikipedia	Wikipidia basa Banjar	Active	Banjarese	Latn	bjn	msa/bjn	11,960	94	bjn.wikipedia.org
Meadow Mari Wikipedia	Олык Марий Википедий (Olyk Marij Vikipedij)	Active	Meadow Mari	Cyrl	mhr	chm/mhr	11,326	22	mhr.wikipedia.org
Shilha Wikipedia	Wikipidya taclḥiyt (ⵡⵉⴽⵉⵒⵉⴷⵢⴰ ⵜⴰⵛⵍⵃⵉⵜ)	Active	Shilha	Latn/Tfng	shi	shi	10,890	27	shi.wikipedia.org
Moroccan Arabic Wikipedia	ويكيبيديا المغربية (Wīkībīdiyā maḡribiyy)	Active	Moroccan Arabic	Arab	ary	ara/ary	19,124	62	ary.wikipedia.org
Fula Wikipedia	Wikipedia Fulfude	Active	Fula	Latn	ff	ful	20,239	42	ff.wikipedia.org
Karakalpak Wikipedia	Qaraqalpaq Wikipediası	Active	Karakalpak	Latn	kaa	kaa	13,245	35	kaa.wikipedia.org
Meitei Wikipedia	ꯃꯤꯇꯩꯂꯣꯟ ꯋꯤꯀꯤꯄꯦꯗꯤꯌꯥ (Meeteilon weekeepaydeeya)	Active	Meitei	Mtei	mni	mni	10,543	27	mni.wikipedia.org
Hill Mari Wikipedia	Кырык марла Википеди (Kyryk marla Vikipedi)	Active	Hill Mari	Cyrl	mrj	chm/mrj	10,430	16	mrj.wikipedia.org
Hakka Wikipedia	Pha̍k-fa-sṳ: Hakkâpedia or Hak-kâ-ngî Wikipedia	Active	Hakka Chinese	Latn	hak	zho/hak	10,436	27	hak.wikipedia.org
Kapampangan Wikipedia	Wikipediang Kapampángan	Active	Kapampangan	Latn	pam	pam	10,219	21	pam.wikipedia.org
Rusyn Wikipedia	Русиньска Вікіпедія (Rusîn'ska Vikipedija)	Active	Rusyn	Cyrl	rue	rue	10,263	38	rue.wikipedia.org
Uyghur Wikipedia	UEY: ئۇيغۇرچە ۋىكىپېدىيە (ULY: Uyghur wikipëdiye) (UYY: Uyghur vikipediyə) (UKY: Уйғур википедийә)	Active	Uyghur	Arab	ug	uig	9,723	37	ug.wikipedia.org
Talysh Wikipedia	Tolyšə Vikipedijə	Active	Talysh	Latn	tly	tly	10,145	39	tly.wikipedia.org
Tarantino Wikipedia	Uicchipèdie tarandíne	Active	Tarantino	Latn	roa-tara	nap/pugl1238	9,507	21	roa-tara.wikipedia.org
Bhojpuri Wikipedia	बिहारी विकिपीडिया (Bihārī vikipīḍiyā)	Active	Bihari (Bhojpuri)	Deva	bh	bho	9,097	61	bh.wikipedia.org
Northern Sotho Wikipedia	Wikipedia Sesotho sa Leboa	Active	Northern Sotho	Latn	nso	nso	8,935	20	nso.wikipedia.org
