#codeDisplay		#lang:ru	ru2020speaks	ru2020uses	ru2020native
#nameDisplay			Russia 2020 Speaks	Russia 2020 Uses	Russia 2020 Native Language
#isoRegionCode	RU				
#yearCollected	2020				
#mode			Speaks	Uses	
#acquisitionOrder			Any	Any	L1
#populationEligible	147,182,123				
#populationWithPositiveResponses			135,125,671	134,623,178	130,543,591
#collectorType	Government				
#collectorName	Federal State Statistics Service	Федеральная служба государственной статистики			
#collectorNameShort	Rosstat	Росстат			
#url	https://web.archive.org/web/20230213225905/http://rosstat.gov.ru/vpn_popul				
#dateAccessed	2023-02-13				
#documentName	Volume 5. National composition and language proficiency	Том 5. Национальный состав и владение языками 			
#tableName			Таблица 5. Владение языками населением наиболее многочисленных национальностей Table 5. Language proficiency by the population of the most numerous nationalities	Table 4. Language proficiency and use of languages ​​by the population	Таблица 6. Население по родному языку Table 6. Population by native language
#columnName			Все население The entire population	of them use it in everyday life	Городское и сельское население: Urban and Rural population
Language Code	Language		Russia 2020 Spoken	Russia 2020 Uses	Russia 2020 Native Language
atv/chel1242	Chelkan	Челканский	506	445	648
che	Chechen	Чеченский	1493748	1,461,100	1,644,313
ces	Czech	Чешский	7234	1,976	418
chv	Chuvash	Чувашский	700222	619,902	800,100
ckt	Chukchi	Чукотский	2607	1,670	8,526
clw	Chulym	Чулымско-тюркский	32	15	38
swe	Swedish	Шведский	2821	794	106
gsw	Swiss	Швейцарский	57	26	
sna	Shona	Шона	52	33	
cjs	Shor	Шорский	2927	2,205	5,530
sco	Scots	Шотландский	22	7	
sgh	Shughni	Шугнанский	79	52	
sux	Sumerian	Шумерский	53	32	
ewe	Ewe	Эве	1	0	
evn	Evenki	Эвенкийский	5831	3,445	8,724
eve	Even	Эвенский	5304	3,943	7,208
bin	Edo / Bini	Эдо	4	4	
enet1250/enf	Enets	Энецкий	97	86	69
mord1256/myv	Erzya-Mordvin	Эрзя-мордовский	40045	36,776	46,241
ess	Central Siberian Yupik	Эскимосский	172	92	816
epo	Esperanto	Эсперанто	753	289	
est	Estonian	Эстонский	6724	2,457	2,816
ett	Etruscan	Этрусский	1	0	
yug	Yug	Югский	7	5	3
mul	South African	Южноафриканский	1	0	
ess	Yupik	Юитский	2	0	1
ykg	Yukaghir	Юкагирский	359	243	516
nog/yurt1234	Yurt-Tatar	Юртовско-татарский	39	33	18
yai	Yagnobi	Ягнобский	6	4	
yah	Yazgulyam	Язгулямский	1	1	
sah	Yakut	Якутский	377722	363,096	479,484
jpn	Japanese	Японский	16543	4,304	523
mis	Programming language	Язык программирования	742		
mul	Those who gave other answers	Указавшие другие ответы			34,340
mul	Those who indicated other languages (not listed above)	Указавшие другие языки (не перечисленные выше)	66888	53,117	
mis	Persons whose language proficiency is not indicated in the census forms.	Лица, в переписных листах которых владение языками не указано	12,056,452		
