# Source: https://ldml.api.sil.org/langtags.json (SIL langtags dataset, public domain)
# Docs: https://github.com/silnrsi/langtags/blob/master/doc/langtags.md
iso639_3	iso639_3extra	names
agr		Aents;Aguajún;Aguaruna;Ahuajún;Awajunt
ags		Aage;Age;Bogen;Bogue;Eshimbi;Essimbi;Isimbi;Mburugam;Simpi
agt		Agta;Central Cagayan Agta;Labin Agta
agu		Aguacatec;Aguacateco;Kayol;Qa’yol;Yol Awakateko
agv		Hatang-Kayey;Hatang-Kayi;Remontado Agta;Remontado Dumagat;Sinauna;Sinauna Tagalog
agw		Anganiwai;Anganiwei;Narihua;Wanoni
agx		Aghul-ch’al;Agiul Shui
agy		Ita;Kaboloan;Kabulowan;Kabuluen;Kabuluwan;Kabuluwen;Southern Alta
agz		Agta;Lake Buhi West;Mount Iriga Negrito;Mt. Iriga Agta;San Ramon Inagta
aha		Ayɩnda
ahb		Ahamb;Naujin sdrato
ahg		
ahh		Djair;Dyair
ahi		Ahizi;Ed-eyng;Ezibo;Kropko;Lélémrin;Prokpo;Tiagba;Tiagbamrin;Tiagbamrin Aizi
ahk		A ka daw;Ahka;Ai Ni;Aini;Aka;Ak’a;Avkavdawv;Aˬ khaˬ dawˬ;Aˬkhaˬ;A˯ka˯daw˯;Ikor;Khao Ikor;Yani;Za Ni
ahk		Ahka;Aini;Aka;Ak’a;Aˬ khaˬ dawˬ;A˯ka˯daw˯;Ikor;Yani
ahk		A ka daw;Ahka;Ai Ni;Aini;Aka;Ak’a;Avkavdawv;Aˬ khaˬ dawˬ;Aˬkhaˬ;A˯ka˯daw˯;Ikor;Khao Ikor;Yani;Za Ni
ahk		A ka daw;Ahka;Ai Ni;Aini;Aka;Ak’a;Avkavdawv;Aˬ khaˬ dawˬ;Aˬkhaˬ;A˯ka˯daw˯;Ikor;Khao Ikor;Yani;Za Ni
ahk		A ka daw;Ahka;Ai Ni;Aini;Aka;Ak’a;Avkavdawv;Aˬ khaˬ dawˬ;Aˬkhaˬ;A˯ka˯daw˯;Ikor;Khao Ikor;Yani;Za Ni
ahk		A ka daw;Ahka;Ai Ni;Aini;Aka;Ak’a;Avkavdawv;Aˬ khaˬ dawˬ;Aˬkhaˬ;A˯ka˯daw˯;Ikor;Khao Ikor;Louma;Yani;Za Ni
ahl		Achlo;Ago;Ahlon;Ahlon-Bogo;Ahlõ;Ahonlan;Anlo;Bogo
ahm		Ahizi;Ed-eyng;Ezibo;Frukpu;Mobumrin Aizi;Mouin
ahn		Ahaan;Àhàn
aho		Tai Ahom
ahp		Ahizi;Apro;Aproin;Aprou;Aproumu;Aproumu Aizi;Aprwe;Oprou
ahr		Ahiri
ahs		Ache;Ala;Ishe;Ishɛ;Koro Makama;Koron Ache;Koron Ala;Ìzɛ
aht		Ahtena;Atna;Atnakenaege’;Copper River;Koht’aene Kenaege’;Mednovskiy
aia		
aib		Aini;Ainu (China);Aynu;Ejnu;Eynu;Šäyxil
aic		Ainba
aid		
aie		Bibling;Longa
aif		
aig		Anguillan Creole English;Antigua and Barbuda Creole English;Broken English;Creole;Dialect;Kittitian Creole English;Kokoy;Kokoy Creole English;Montserrat Creole English;Patwa;Saint Kitts Creole English;Simaatn Creole English;Sint Maarten Creole English
aih		Atsam;Jiamu;Jiamuhua;Jin;Jinhua
aii		Aisorski;Asoreren;Assyrian;Assyrianci;Assyriski;Aturaya Swadaya;Lishana Aturaya;Neo-Syriac;Sooreth;Suret;Sureth;Suryaya Swadaya;Swadai;Swadaya
aii		
aii		Aisorski;Asoreren;Assyrian;Assyrianci;Assyriski;Aturaya Swadaya;Lishana Aturaya;Neo-Syriac;Sooreth;Suret;Sureth;Suryaya Swadaya;Swadai;Swadaya
aij		Galigalu;Hulani;Hula’ula;Jbeli;Kurdit;Lishana Didán;Lishanid Noshan;Sureth
aik		Aike;Ake;Ekwenunga;Kapon
ail		Aimele;Kware
aim		
ain		Ainu (Japan);Ainu Itak
ain		Ainu (Japan);Ainu Itak
aio		Aitonia;Sham Doaniya;Shyam;Tai Aiton
aip		
aiq		Chahar-Aimaq;Char Aimaq
air		Adora;Aeroran;Iriemkena;Kapeso
ait		Ahopovo;Ahôpovo;Ariken;Arikém;Ariqueme;Ariquemes;Ariquême;Uitáte
aiw		
aiw		
aiw		
aix		Aigon;Eighon
aiy		’Àlī
aja		Adja;Aja (South Sudan);Ajja
ajg		Adja;Aja (Benin);Aja-Gbe;ajagbe
aji		Anjie;A’jie;Houaïlou;Waawilûû;Wai;Wailu
ajn		Andidja;Andidjara
ajs		AJSL;Ghardaia Sign Language
ajw		Aja;Ajanci
ajz		Amri
aka	fat;twi	
aka		
aka	twi	
aka		
akb		Anakola;Angkola
akb		Anakola;Angkola
akc		Amberbaken;Dekwambre;Ekware;Kebar
akd		Akpet-Ehom
ake		Acahuayo;Acawayo;Acewaio;Akawai;Akawayo;Akwaio;Ingariko;Ingarikó;Kapon;Kapóng;Patamona;Waicá;Waika
akf		Akpa
akg		Anakalang
akh		Agarar;Augu;Katinja;Wage;West Angal Heneng;West Mendi
aki		Aren;Ayom
akj		Jero;Jeru;Yerawa
akk		
