Language Code	Glottocode	Display Name	Endonym	Modality	Biggest Script	Ethnologue Vitality 2013	Ethnologue Vitality 2025	Eth Digital Support	Adjusted Populaiton	Population	Parent Language	Parent Glottocode	Recommendation	Recommendation Reason
urh	urho1239	Urhobo	Urhobo		Latn	Developing	Stable	Ascending	0	546,000		sout2805	Yes	
pis	piji1239	Pijin	Pijin		Latn	Wider Communication	Institutional	Ascending	0	543,478		earl1243	Yes	
dwr	dawr1236	Dawro			Latn	Educational	Institutional	Emerging	0	543,000		dawr1235	Yes	
izz	izii1239	Izii			Latn	Developing	Stable	Ascending	0	540,000		izie1238	Yes	
div	dhiv1236	Maldivian	ދިވެހިބަސް	Spoken & Written	Thaa	National	Institutional	Vital	0	539,236		sinh1245	Yes	
lij	ligu1248	Ligurian	Ligure	Spoken & Written	Latn	Developing	Institutional	Ascending	0	535,001		gall1279	Yes	
kus	kusa1250	Kusaal		Spoken & Written	Latn	Developing	Stable	Ascending	0	535,000		sout3205	Yes	
dzg	daza1242	Dazaga			Latn	Wider Communication	Institutional	Ascending	0	532,000		tebu1238	Yes	
ndo	ndon1254	Ndonga	Ndonga		Latn	Developing	Institutional	Ascending	0	531,977		kwam1257	Yes	
asa	asut1235	Asu (Tanzania)	Kipare		Latn	Vigorous	Stable	Ascending	0	530,000		pare1277	Yes	
msb	masb1238	Masbatenyo			Latn	Wider Communication	Institutional	Ascending	0	526,636		masb1239	Yes	
gxx	weso1238	Wè Southern			Latn	Developing	Stable	Emerging	0	526,000		guer1240	Yes	
xdy	mala1480	Malayic Dayak			Latn	Vigorous	Stable	Ascending	0	520,000		mala1538	Yes	
gjk	kach1272	Kachi Koli			Arab	Developing	Stable	Emerging	0	516,000		west2830	Yes	
scn	sici1248	Sicilian	Sicilianu	Spoken & Written	Latn	Developing	Stable	Ascending	0	511,000		ital1287	Yes	
its	isek1239	Isekiri			Latn	Developing	Stable	Emerging	0	510,000		edek1238	Yes	
txy	tano1246	Tanosy Malagasy			Latn	Vigorous	Stable	Still	0	510,000	mlg	bara1407	Possibly	But probably want to use macrolanguage
dty	doty1234	Dotyali	डोटेली	Spoken & Written	Deva	Educational	Stable	Ascending	0	509,209	nep	east1436	Possibly	But probably want to use macrolanguage
thr	rana1246	Rana Tharu			Deva	Developing	Stable	Emerging	0	509,000		thar1284	Yes	
zmi	nege1240	Negeri Sembilan Malay			Latn	Threatened	Endangered	Emerging	0	508,000	msa	mina1280	Possibly	But probably want to use macrolanguage
hav	havu1238	Havu			Latn	Vigorous	Stable	Emerging	0	506,000		hund1240	Yes	
awn	awng1244	Awngi			Ethi	Educational	Stable	Emerging	0	500,000		cent2193	Yes	
bhp	bima1247	Bima	bahasa Bima		Latn	Developing	Stable	Ascending	0	500,000		bima1248	Yes	
chm	mari1278	Mari (Russia)	марий		Cyrl				0	500,000		ural1272	Yes	
gda	gade1236	Gade Lohar			Deva	Vigorous	Stable	Still	0	500,000	raj	mewa1253	Possibly	But probably want to use macrolanguage
goa	guro1248	Guro			Latn	Developing	Stable	Emerging	0	500,000		guro1247	Yes	
hms	sout2754	Southern Qiandong Miao			Latn	Vigorous	Stable	Emerging	0	500,000	hmn	sout3405	Possibly	But probably want to use macrolanguage
mhr	east2328	Eastern Mari	олык марий	Spoken & Written	Cyrl	Educational	Institutional	Ascending	0	500,000	chm	mari1278	Possibly	But probably want to use macrolanguage
qxp	puno1238	Puno Quechua	punu qichwa simi		Latn	Educational	Institutional	Emerging	0	500,000	que	cusc1235	Possibly	But probably want to use macrolanguage
src	logu1236	Logudorese Sardinian			Latn	Threatened	Endangered	Still	0	500,000	srd	sard1257	Possibly	But probably want to use macrolanguage
sro	camp1261	Campidanese Sardinian			Latn	Vigorous	Endangered	Vital	0	500,000	srd	sard1257	Possibly	But probably want to use macrolanguage
yig	wusa1235	Wusa Nasu			Yiii		Stable	Still	0	500,000		nesu1235	Yes	
zhn	nong1247	Nong Zhuang	kauq Noangz		Latn	Wider Communication	Institutional	Emerging	0	500,000	zha	deba1238	Possibly	But probably want to use macrolanguage
kjg	khmu1256	Khmu			Laoo	Developing	Stable	Ascending	0	494,082		khmu1255	Yes	
rmc	carp1235	Carpathian Romani			Latn	Developing	Stable	Ascending	0	491,100	rom	roma1329	Possibly	But probably want to use macrolanguage
lhu	lahu1253	Lahu	Ladhof		Latn	Educational	Institutional	Ascending	0	489,650		laho1234	Yes	
kro		Kru			Latn				0	480,977			Possibly	Language family
grb	greb1256	Grebo			Latn				0	476,167		greb1257	Yes	
wci	waci1239	Waci Gbe			Latn	Vigorous	Stable	Emerging	0	476,000		kpes1239	Yes	
mdr	mand1442	Mandar			Latn	Developing	Institutional	Ascending	0	475,000		nort2894	Yes	
