From https://documentation.abes.fr/guide/html/formats/CodesLanguesISO639-3.htm		
Code	Nom en français	Display Name French
bfi	british sign language	British Sign Language
bfj	bafanji	Bafanji
bfk	ban khor sign language	Ban Khor Sign Language
bfl	banda-ndélé	Banda-Ndélé
bfm	mmen	Mmen
bfn	bunak	Bunak
bfo	malba birifor	Malba Birifor
bfp	beba	Beba
bfq	badaga	Badaga
bfr	bazigar	Bazigar
bfs	southern bai	Southern Bai
bft	balti	Balti
bfu	gahri	Gahri
bfw	bondo	Bondo
bfx	bantayanon	Bantayanon
bfy	bagheli	Bagheli
bfz	mahasu pahari	Mahasu Pahari
bga	gwamhi-wuri	Gwamhi-Wuri
bgb	bobongko	Bobongko
bgc	haryanvi	Haryanvi
bgd	rathwi bareli	Rathwi Bareli
bge	bauria	Bauria
bgf	bangandu	Bangandu
bgg	bugun	Bugun
bgi	giangan	Giangan
bgj	bangolan	Bangolan
bgk	bit	Bit
bgl	bo (laos)	Bo (Laos)
bgn	western balochi	Western Balochi
bgo	baga koga	Baga Koga
bgp	eastern balochi	Eastern Balochi
bgq	bagri	Bagri
bgr	bawm chin	Bawm Chin
bgs	tagabawa	Tagabawa
bgt	bughotu	Bughotu
bgu	mbongno	Mbongno
bgv	warkay-bipim	Warkay-Bipim
bgw	bhatri	Bhatri
bgx	balkan gagauz turkish	Balkan Gagauz Turkish
bgy	benggoi	Benggoi
bgz	banggai	Banggai
bha	bharia	Bharia
bhb	bhili	Bhili
bhc	biga	Biga
bhd	bhadrawahi	Bhadrawahi
bhe	bhaya	Bhaya
bhf	odiai	Odiai
bhg	binandere	Binandere
bhh	bukharic	Bukharic
bhi	bhilali	Bhilali
bhj	bahing	Bahing
bhl	bimin	Bimin
bhm	bathari	Bathari
bhn	bohtan neo-aramaic	Bohtan Neo-Aramaic
bho	bhojpuri	Bhojpuri
bhp	bima	Bima
bhq	tukang besi south	Tukang Besi South
bhr	bara malagasy	Bara Malagasy
bhs	buwal	Buwal
bht	bhattiyali	Bhattiyali
bhu	bhunjia	Bhunjia
bhv	bahau	Bahau
bhw	biak	Biak
bhx	bhalay	Bhalay
bhy	bhele	Bhele
bhz	bada (indonesia)	Bada (Indonesia)
bia	badimaya	Badimaya
bib	bissa	Bissa
bid	bidiyo	Bidiyo
bie	bepour	Bepour
bif	biafada	Biafada
big	biangai	Biangai
bih	biharis, langues	Biharis, Langues
bik	bikol	Bikol
bil	bile	Bile
bim	bimoba	Bimoba
bin	bini ; edo	Bini ; Edo
bio	nai	Nai
bip	bila	Bila
biq	bipi	Bipi
bir	bisorio	Bisorio
bis	bichlamar	Bichlamar
bit	berinomo	Berinomo
biu	biete	Biete
biv	southern birifor	Southern Birifor
biw	kol (cameroon)	Kol (Cameroon)
bix	bijori	Bijori
biy	birhor	Birhor
biz	baloi	Baloi
bja	budza	Budza
bjb	banggarla	Banggarla
bjc	bariji	Bariji
bje	biao-jiao mien	Biao-Jiao Mien
bjf	barzani jewish neo-aramaic	Barzani Jewish Neo-Aramaic
bjg	bidyogo	Bidyogo
bjh	bahinemo	Bahinemo
bji	burji	Burji
bjj	kanauji	Kanauji
bjk	barok	Barok
bjl	bulu (papua new guinea)	Bulu (Papua New Guinea)
bjm	bajelani	Bajelani
bjn	banjar	Banjar
bjo	mid-southern banda	Mid-Southern Banda
bjp	fanamaket	Fanamaket
bjr	binumarien	Binumarien
bjs	bajan	Bajan
bjt	balanta-ganja	Balanta-Ganja
bju	busuu	Busuu
bjv	bedjond	Bedjond
bjw	bakwé	Bakwé
bjx	banao itneg	Banao Itneg
bjy	bayali	Bayali
bjz	baruga	Baruga
bka	kyak	Kyak
bkc	baka (cameroon)	Baka (Cameroon)
bkd	binukid	Binukid
bkf	beeke	Beeke
bkg	buraka	Buraka
bkh	bakoko	Bakoko
bki	baki	Baki
bkj	pande	Pande
bkk	brokskat	Brokskat
bkl	berik	Berik
bkm	kom (cameroon)	Kom (Cameroon)
bkn	bukitan	Bukitan
bko	kwa'	Kwa'
bkp	boko (democratic republic of congo)	Boko (Democratic Republic Of Congo)
bkq	bakairí	Bakairí
bkr	bakumpai	Bakumpai
bks	northern sorsoganon	Northern Sorsoganon
bkt	boloki	Boloki
bku	buhid	Buhid
bkv	bekwarra	Bekwarra
bkw	bekwel	Bekwel
bkx	baikeno	Baikeno
bky	bokyi	Bokyi
bkz	bungku	Bungku
bla	blackfoot	Blackfoot
blb	bilua	Bilua
blc	bella coola	Bella Coola
bld	bolango	Bolango
ble	balanta-kentohe	Balanta-Kentohe
blf	buol	Buol
blh	kuwaa	Kuwaa
bli	bolia	Bolia
blj	bolongan	Bolongan
blk	pa'o karen	Pa'O Karen
bll	biloxi	Biloxi
blm	beli (south sudan)	Beli (South Sudan)
bln	southern catanduanes bikol	Southern Catanduanes Bikol
blo	anii	Anii
blp	blablanga	Blablanga
blq	baluan-pam	Baluan-Pam
blr	blang	Blang
bls	balaesang	Balaesang
blt	tai dam	Tai Dam
blv	kibala	Kibala
blw	balangao	Balangao
blx	mag-indi ayta	Mag-Indi Ayta
bly	notre	Notre
blz	balantak	Balantak
bma	lame	Lame
bmb	bembe	Bembe
bmc	biem	Biem
bmd	baga manduri	Baga Manduri
bme	limassa	Limassa
bmf	bom-kim	Bom-Kim
bmg	bamwe	Bamwe
bmh	kein	Kein
bmi	bagirmi	Bagirmi
bmj	bote-majhi	Bote-Majhi
bmk	ghayavi	Ghayavi
bml	bomboli	Bomboli
bmm	northern betsimisaraka malagasy	Northern Betsimisaraka Malagasy
bmn	bina (papua new guinea)	Bina (Papua New Guinea)
bmo	bambalang	Bambalang
bmp	bulgebi	Bulgebi
bmq	bomu	Bomu
bmr	muinane	Muinane
bms	bilma kanuri	Bilma Kanuri
bmt	biao mon	Biao Mon
bmu	somba-siawari	Somba-Siawari
bmv	bum	Bum
bmw	bomwali	Bomwali
bmx	baimak	Baimak
bmz	baramu	Baramu
bna	bonerate	Bonerate
bnb	bookan	Bookan
bnc	bontok	Bontok
bnd	banda (indonesia)	Banda (Indonesia)
bne	bintauna	Bintauna
bnf	masiwang	Masiwang
bng	benga	Benga
bni	bangi	Bangi
bnj	eastern tawbuid	Eastern Tawbuid
bnk	bierebo	Bierebo
bnl	boon	Boon
bnm	batanga	Batanga
bnn	bunun	Bunun
bno	bantoanon	Bantoanon
bnp	bola	Bola
bnq	bantik	Bantik
bnr	butmas-tur	Butmas-Tur
bns	bundeli	Bundeli
bnt	bantou, langues	Bantou, Langues
bnu	bentong	Bentong
bnv	bonerif	Bonerif
bnw	bisis	Bisis
bnx	bangubangu	Bangubangu
bny	bintulu	Bintulu
bnz	beezen	Beezen
boa	bora	Bora
bob	aweer	Aweer
bod	tibétain	Tibétain
boe	mundabli	Mundabli
bof	bolon	Bolon
bog	bamako sign language	Bamako Sign Language
boh	boma	Boma
boi	barbareńo	Barbareńo
boj	anjam	Anjam
bok	bonjo	Bonjo
bol	bole	Bole
bom	berom	Berom
bon	bine	Bine
boo	tiemacčwč bozo	Tiemacčwč Bozo
bop	bonkiman	Bonkiman
boq	bogaya	Bogaya
bor	borôro	Borôro
bos	bosniaque	Bosniaque
bot	bongo	Bongo
bou	bondei	Bondei
bov	tuwuli	Tuwuli
bow	rema	Rema
box	buamu	Buamu
boy	bodo (central african republic)	Bodo (Central African Republic)
